,QueueGroupId,datetime,CallOffered_diff,CallAnswered_diff
5728243,368,2020-12-19 11:10:45,0.0,0.0
5728326,368,2020-12-19 11:10:45,0.0,0.0
5728409,368,2020-12-19 11:10:45,0.0,0.0
5728492,368,2020-12-19 11:10:45,0.0,0.0
5728575,368,2020-12-19 11:10:45,0.0,0.0
5728658,368,2020-12-19 11:10:45,0.0,0.0
5728741,368,2020-12-19 11:10:45,0.0,0.0
5728824,368,2020-12-19 11:10:45,0.0,0.0
5728907,368,2020-12-19 11:10:45,0.0,0.0
5728990,368,2020-12-19 11:10:45,0.0,0.0
5729073,368,2020-12-19 11:10:45,0.0,0.0
5729156,368,2020-12-19 11:10:45,0.0,0.0
5729239,368,2020-12-19 11:10:45,0.0,0.0
5729322,368,2020-12-19 11:10:45,0.0,0.0
5729406,368,2020-12-19 11:10:45,0.0,0.0
5729490,368,2020-12-19 11:10:45,0.0,0.0
5729574,368,2020-12-19 11:10:45,0.0,0.0
5729658,368,2020-12-19 11:10:45,0.0,0.0
5729742,368,2020-12-19 11:10:45,0.0,0.0
5729826,368,2020-12-19 11:10:45,0.0,0.0
5729910,368,2020-12-19 11:10:45,0.0,0.0
5729994,368,2020-12-19 11:10:45,0.0,0.0
5730078,368,2020-12-19 11:10:45,0.0,0.0
5730162,368,2020-12-19 11:10:45,0.0,0.0
5730246,368,2020-12-19 11:10:45,0.0,0.0
5730330,368,2020-12-19 11:10:45,0.0,0.0
5730414,368,2020-12-19 11:10:45,0.0,0.0
5730498,368,2020-12-19 11:10:45,0.0,0.0
5730582,368,2020-12-19 11:10:45,0.0,0.0
5730666,368,2020-12-19 11:10:45,0.0,0.0
5730750,368,2020-12-19 11:10:45,0.0,0.0
5730834,368,2020-12-19 11:10:45,0.0,0.0
5730918,368,2020-12-19 11:10:45,0.0,0.0
5731002,368,2020-12-19 11:10:45,0.0,0.0
5731086,368,2020-12-19 11:10:45,0.0,0.0
5731170,368,2020-12-19 11:10:45,0.0,0.0
