,rate_CO_SL
5945,3.013776455989884
5946,2.989816097999579
5947,2.9659251700613667
5948,2.9421053385174054
5949,2.9183582625541526
5950,2.894685594088368
5951,2.8710889783040767
5952,2.8475700518733182
5953,2.824130443977565
5954,2.800771774990601
5955,2.7774956563440703
5956,2.754303691097737
5957,2.7311974721468903
5958,2.708178582794364
5959,2.685248596614536
5960,2.662409076192424
5961,2.639661573886885
5962,2.6170076305506518
5963,2.140248194196772
5964,2.1217183287226784
5965,2.1032693991461606
5966,2.0849026372036548
5967,2.066619264440725
5968,2.0484204912090918
5969,2.0303075170860057
5970,2.012281530246656
5971,1.994343707021015
5972,1.9764952123368829
5973,1.9587371986325903
5974,1.9410708059560748
5975,1.9234971620111725
5976,1.9060173811993413
5977,1.8886325650169515
5978,1.8713438014157928
5979,1.8541521645513308
5993,6.31274602382115
5994,6.252053276143903
5995,6.191796794282053
5996,6.1319797024515585
5997,6.072605054343732
5998,6.013675833458836
5999,5.955194950966728
6000,5.8971652458884565
6001,5.839589484310791
6002,5.782470357599004
6003,5.725810482511176
6004,5.669612400574852
6005,5.613878576032153
6006,5.558611397070629
6007,5.503813173210169
6008,5.4494861349192405
6009,5.3956324349824465
6010,5.34225414437567
6011,5.289353254175599
6012,5.2369316742972805
6013,5.184991231815103
6014,5.133533672087295
6015,5.082560656340894
6016,5.032073761902767
6017,4.982074482258801
6018,4.9325642250145805
6019,4.8835443120661415
6020,4.835015979781772
6021,4.7869803767390495
6022,4.739438565109889
